0 ,0,3.81,36.888
0 ,1/8,3.97,37.415
0 ,1/4,3.907,37.851
1/6 ,1/144,3.766,35.222
1/6 ,37/288,3.739,35.839
1/6 ,1/4,3.684,36.334
1/4 ,1/64,2.62,34.049
1/4 ,17/128,2.644,34.906
1/4 ,1/4,2.693,35.503
1/2 ,1/16,2.349,29.921
1/2 ,5/32,2.354,31.066
1/2 ,1/4,2.431,32.187
3/4 ,9/64,1.871,24.396
3/4 ,25/128,1.878,24.824
3/4 ,1/4,1.958,25.784
